,provinsi,tahun,jenis,jumlah RTP
582,DAERAH ISTIMEWA YOGYAKARTA,2018,Laut,501
583,DKI JAKARTA,2018,Laut,3479
584,GORONTALO,2018,Laut,10444
585,JAMBI,2018,Laut,3303
586,JAWA BARAT,2018,Laut,9144
587,JAWA TENGAH,2018,Laut,20355
588,JAWA TIMUR,2018,Laut,67140
589,KALIMANTAN BARAT,2018,Laut,15826
590,KALIMANTAN SELATAN,2018,Laut,11551
591,KALIMANTAN TENGAH,2018,Laut,7322
592,KALIMANTAN TIMUR,2018,Laut,22203
593,KALIMANTAN UTARA,2018,Laut,11643
594,KEPULAUAN BANGKA BELITUNG,2018,Laut,17947
595,KEPULAUAN RIAU,2018,Laut,25575
596,LAMPUNG,2018,Laut,11962
597,MALUKU,2018,Laut,58800
598,MALUKU UTARA,2018,Laut,14135
599,NUSA TENGGARA BARAT,2018,Laut,25229
600,NUSA TENGGARA TIMUR,2018,Laut,26381
601,PAPUA,2018,Laut,15958
602,PAPUA BARAT,2018,Laut,15268
603,RIAU,2018,Laut,11717
604,SULAWESI BARAT,2018,Laut,14547
605,SULAWESI SELATAN,2018,Laut,65744
606,SULAWESI TENGAH,2018,Laut,52076
607,SULAWESI TENGGARA,2018,Laut,55424
608,SULAWESI UTARA,2018,Laut,25010
609,SUMATERA BARAT,2018,Laut,12527
610,SUMATERA SELATAN,2018,Laut,2998
611,SUMATERA UTARA,2018,Laut,38379
612,ACEH,2019,Laut,36246
613,BALI,2019,Laut,21094
614,BANTEN,2019,Laut,17999
615,BENGKULU,2019,Laut,8013
616,DAERAH ISTIMEWA YOGYAKARTA,2019,Laut,2249
617,DKI JAKARTA,2019,Laut,4944
618,GORONTALO,2019,Laut,11848
619,JAMBI,2019,Laut,3171
620,JAWA BARAT,2019,Laut,27701
621,JAWA TENGAH,2019,Laut,50290
622,JAWA TIMUR,2019,Laut,66992
623,KALIMANTAN BARAT,2019,Laut,17790
624,KALIMANTAN SELATAN,2019,Laut,21882
625,KALIMANTAN TENGAH,2019,Laut,7352
626,KALIMANTAN TIMUR,2019,Laut,23814
627,KALIMANTAN UTARA,2019,Laut,10246
628,KEPULAUAN BANGKA BELITUNG,2019,Laut,28642
629,KEPULAUAN RIAU,2019,Laut,29850
630,LAMPUNG,2019,Laut,14670
631,MALUKU,2019,Laut,104734
632,MALUKU UTARA,2019,Laut,21171
633,NUSA TENGGARA BARAT,2019,Laut,35769
634,NUSA TENGGARA TIMUR,2019,Laut,37530
635,PAPUA,2019,Laut,21758
636,PAPUA BARAT,2019,Laut,17842
637,RIAU,2019,Laut,15170
638,SULAWESI BARAT,2019,Laut,16848
639,SULAWESI SELATAN,2019,Laut,60755
640,SULAWESI TENGAH,2019,Laut,51140
641,SULAWESI TENGGARA,2019,Laut,51983
642,SULAWESI UTARA,2019,Laut,37060
643,SUMATERA BARAT,2019,Laut,33070
644,SUMATERA SELATAN,2019,Laut,6958
645,SUMATERA UTARA,2019,Laut,46959
646,ACEH,2020,Laut,39004
647,BALI,2020,Laut,33651
648,BANTEN,2020,Laut,14747
649,BENGKULU,2020,Laut,10966
650,DAERAH ISTIMEWA YOGYAKARTA,2020,Laut,3367
651,DKI JAKARTA,2020,Laut,4921
652,GORONTALO,2020,Laut,14566
653,JAMBI,2020,Laut,4507
654,JAWA BARAT,2020,Laut,19366
655,JAWA TENGAH,2020,Laut,99305
656,JAWA TIMUR,2020,Laut,96545
657,KALIMANTAN BARAT,2020,Laut,28579
658,KALIMANTAN SELATAN,2020,Laut,31570
659,KALIMANTAN TENGAH,2020,Laut,12257
660,KALIMANTAN TIMUR,2020,Laut,27909
661,KALIMANTAN UTARA,2020,Laut,13722
662,KEPULAUAN BANGKA BELITUNG,2020,Laut,33948
663,KEPULAUAN RIAU,2020,Laut,48323
664,LAMPUNG,2020,Laut,15886
665,MALUKU,2020,Laut,93579
666,MALUKU UTARA,2020,Laut,25515
667,NUSA TENGGARA BARAT,2020,Laut,46830
668,NUSA TENGGARA TIMUR,2020,Laut,45793
669,PAPUA,2020,Laut,26992
670,PAPUA BARAT,2020,Laut,18550
671,RIAU,2020,Laut,14999
672,SULAWESI BARAT,2020,Laut,19948
673,SULAWESI SELATAN,2020,Laut,82009
674,SULAWESI TENGAH,2020,Laut,66495
675,SULAWESI TENGGARA,2020,Laut,60229
676,SULAWESI UTARA,2020,Laut,48427
677,SUMATERA BARAT,2020,Laut,23689
678,SUMATERA SELATAN,2020,Laut,3686
679,SUMATERA UTARA,2020,Laut,68741
680,ACEH,2011,PUD,3167
681,BALI,2011,PUD,4848
682,BANTEN,2011,PUD,648
683,BENGKULU,2011,PUD,4487
684,DAERAH ISTIMEWA YOGYAKARTA,2011,PUD,2340
685,DKI JAKARTA,2011,PUD,0
686,GORONTALO,2011,PUD,709
687,JAMBI,2011,PUD,8525
688,JAWA BARAT,2011,PUD,26486
689,JAWA TENGAH,2011,PUD,35299
690,JAWA TIMUR,2011,PUD,27065
691,KALIMANTAN BARAT,2011,PUD,5659
692,KALIMANTAN SELATAN,2011,PUD,37316
693,KALIMANTAN TENGAH,2011,PUD,19801
694,KALIMANTAN TIMUR,2011,PUD,24497
695,KALIMANTAN UTARA,2011,PUD,0
696,KEPULAUAN BANGKA BELITUNG,2011,PUD,0
697,KEPULAUAN RIAU,2011,PUD,0
698,LAMPUNG,2011,PUD,7418
699,MALUKU,2011,PUD,24
700,MALUKU UTARA,2011,PUD,0
701,NUSA TENGGARA BARAT,2011,PUD,3427
702,NUSA TENGGARA TIMUR,2011,PUD,0
703,PAPUA,2011,PUD,14149
704,PAPUA BARAT,2011,PUD,648
705,RIAU,2011,PUD,11397
706,SULAWESI BARAT,2011,PUD,0
707,SULAWESI SELATAN,2011,PUD,9405
708,SULAWESI TENGAH,2011,PUD,133
709,SULAWESI TENGGARA,2011,PUD,2504
710,SULAWESI UTARA,2011,PUD,2299
711,SUMATERA BARAT,2011,PUD,9116
712,SUMATERA SELATAN,2011,PUD,51388
713,SUMATERA UTARA,2011,PUD,12173
714,ACEH,2012,PUD,3174
715,BALI,2012,PUD,4322
716,BANTEN,2012,PUD,648
717,BENGKULU,2012,PUD,4528
718,DAERAH ISTIMEWA YOGYAKARTA,2012,PUD,2886
719,DKI JAKARTA,2012,PUD,0
720,GORONTALO,2012,PUD,531
721,JAMBI,2012,PUD,8644
722,JAWA BARAT,2012,PUD,26856
723,JAWA TENGAH,2012,PUD,37427
724,JAWA TIMUR,2012,PUD,16960
725,KALIMANTAN BARAT,2012,PUD,5070
726,KALIMANTAN SELATAN,2012,PUD,43467
727,KALIMANTAN TENGAH,2012,PUD,17035
728,KALIMANTAN TIMUR,2012,PUD,24545
729,KALIMANTAN UTARA,2012,PUD,0
730,KEPULAUAN BANGKA BELITUNG,2012,PUD,0
731,KEPULAUAN RIAU,2012,PUD,0
732,LAMPUNG,2012,PUD,6172
733,MALUKU,2012,PUD,20
734,MALUKU UTARA,2012,PUD,0
735,NUSA TENGGARA BARAT,2012,PUD,2928
736,NUSA TENGGARA TIMUR,2012,PUD,0
737,PAPUA,2012,PUD,14547
738,PAPUA BARAT,2012,PUD,648
739,RIAU,2012,PUD,12532
740,SULAWESI BARAT,2012,PUD,0
741,SULAWESI SELATAN,2012,PUD,6850
742,SULAWESI TENGAH,2012,PUD,896
743,SULAWESI TENGGARA,2012,PUD,2120
744,SULAWESI UTARA,2012,PUD,3862
745,SUMATERA BARAT,2012,PUD,9283
746,SUMATERA SELATAN,2012,PUD,51977
747,SUMATERA UTARA,2012,PUD,13140
748,ACEH,2013,PUD,3174
749,BALI,2013,PUD,3714
750,BANTEN,2013,PUD,580
751,BENGKULU,2013,PUD,4528
752,DAERAH ISTIMEWA YOGYAKARTA,2013,PUD,2947
753,DKI JAKARTA,2013,PUD,0
754,GORONTALO,2013,PUD,544
755,JAMBI,2013,PUD,9246
756,JAWA BARAT,2013,PUD,25703
757,JAWA TENGAH,2013,PUD,35202
758,JAWA TIMUR,2013,PUD,14369
759,KALIMANTAN BARAT,2013,PUD,5821
760,KALIMANTAN SELATAN,2013,PUD,43100
761,KALIMANTAN TENGAH,2013,PUD,16430
762,KALIMANTAN TIMUR,2013,PUD,24136
763,KALIMANTAN UTARA,2013,PUD,0
764,KEPULAUAN BANGKA BELITUNG,2013,PUD,0
765,KEPULAUAN RIAU,2013,PUD,0
766,LAMPUNG,2013,PUD,6533
767,MALUKU,2013,PUD,26
768,MALUKU UTARA,2013,PUD,0
769,NUSA TENGGARA BARAT,2013,PUD,2169
770,NUSA TENGGARA TIMUR,2013,PUD,0
771,PAPUA,2013,PUD,13766
772,PAPUA BARAT,2013,PUD,689
773,RIAU,2013,PUD,12506
774,SULAWESI BARAT,2013,PUD,0
775,SULAWESI SELATAN,2013,PUD,8178
776,SULAWESI TENGAH,2013,PUD,723
777,SULAWESI TENGGARA,2013,PUD,1642
778,SULAWESI UTARA,2013,PUD,3862
779,SUMATERA BARAT,2013,PUD,10200
780,SUMATERA SELATAN,2013,PUD,51703
781,SUMATERA UTARA,2013,PUD,13842
782,ACEH,2014,PUD,3167
783,BALI,2014,PUD,3565
784,BANTEN,2014,PUD,560
785,BENGKULU,2014,PUD,4570
786,DAERAH ISTIMEWA YOGYAKARTA,2014,PUD,2989
787,DKI JAKARTA,2014,PUD,0
788,GORONTALO,2014,PUD,577
789,JAMBI,2014,PUD,8315
790,JAWA BARAT,2014,PUD,24532
791,JAWA TENGAH,2014,PUD,35683
792,JAWA TIMUR,2014,PUD,25147
793,KALIMANTAN BARAT,2014,PUD,7234
794,KALIMANTAN SELATAN,2014,PUD,43168
795,KALIMANTAN TENGAH,2014,PUD,16794
796,KALIMANTAN TIMUR,2014,PUD,24636
797,KALIMANTAN UTARA,2014,PUD,0
798,KEPULAUAN BANGKA BELITUNG,2014,PUD,0
799,KEPULAUAN RIAU,2014,PUD,0
800,LAMPUNG,2014,PUD,5677
801,MALUKU,2014,PUD,26
802,MALUKU UTARA,2014,PUD,0
803,NUSA TENGGARA BARAT,2014,PUD,2035
804,NUSA TENGGARA TIMUR,2014,PUD,0
805,PAPUA,2014,PUD,12960
806,PAPUA BARAT,2014,PUD,487
807,RIAU,2014,PUD,12308
808,SULAWESI BARAT,2014,PUD,0
809,SULAWESI SELATAN,2014,PUD,8333
810,SULAWESI TENGAH,2014,PUD,907
811,SULAWESI TENGGARA,2014,PUD,1628
812,SULAWESI UTARA,2014,PUD,2433
813,SUMATERA BARAT,2014,PUD,8117
814,SUMATERA SELATAN,2014,PUD,50107
815,SUMATERA UTARA,2014,PUD,16981
816,ACEH,2015,PUD,2937
817,BALI,2015,PUD,3969
818,BANTEN,2015,PUD,558
819,BENGKULU,2015,PUD,4709
820,DAERAH ISTIMEWA YOGYAKARTA,2015,PUD,2656
821,DKI JAKARTA,2015,PUD,0
822,GORONTALO,2015,PUD,597
823,JAMBI,2015,PUD,10041
824,JAWA BARAT,2015,PUD,15119
825,JAWA TENGAH,2015,PUD,37970
826,JAWA TIMUR,2015,PUD,14425
827,KALIMANTAN BARAT,2015,PUD,8916
828,KALIMANTAN SELATAN,2015,PUD,41371
829,KALIMANTAN TENGAH,2015,PUD,20657
830,KALIMANTAN TIMUR,2015,PUD,24636
831,KALIMANTAN UTARA,2015,PUD,1677
832,KEPULAUAN BANGKA BELITUNG,2015,PUD,0
833,KEPULAUAN RIAU,2015,PUD,0
834,LAMPUNG,2015,PUD,9826
835,MALUKU,2015,PUD,18
836,MALUKU UTARA,2015,PUD,0
837,NUSA TENGGARA BARAT,2015,PUD,2209
838,NUSA TENGGARA TIMUR,2015,PUD,0
839,PAPUA,2015,PUD,10222
840,PAPUA BARAT,2015,PUD,664
841,RIAU,2015,PUD,11796
842,SULAWESI BARAT,2015,PUD,0
843,SULAWESI SELATAN,2015,PUD,5478
844,SULAWESI TENGAH,2015,PUD,600
845,SULAWESI TENGGARA,2015,PUD,1747
846,SULAWESI UTARA,2015,PUD,80
847,SUMATERA BARAT,2015,PUD,13071
848,SUMATERA SELATAN,2015,PUD,42262
849,SUMATERA UTARA,2015,PUD,11198
850,ACEH,2016,PUD,2937
851,BALI,2016,PUD,2905
852,BANTEN,2016,PUD,558
853,BENGKULU,2016,PUD,4568
854,DAERAH ISTIMEWA YOGYAKARTA,2016,PUD,2378
855,DKI JAKARTA,2016,PUD,0
856,GORONTALO,2016,PUD,597
857,JAMBI,2016,PUD,9562
858,JAWA BARAT,2016,PUD,15962
859,JAWA TENGAH,2016,PUD,36270
860,JAWA TIMUR,2016,PUD,16476
861,KALIMANTAN BARAT,2016,PUD,8916
862,KALIMANTAN SELATAN,2016,PUD,23532
863,KALIMANTAN TENGAH,2016,PUD,17674
864,KALIMANTAN TIMUR,2016,PUD,23023
865,KALIMANTAN UTARA,2016,PUD,1680
866,KEPULAUAN BANGKA BELITUNG,2016,PUD,0
867,KEPULAUAN RIAU,2016,PUD,0
868,LAMPUNG,2016,PUD,10596
869,MALUKU,2016,PUD,0
870,MALUKU UTARA,2016,PUD,0
871,NUSA TENGGARA BARAT,2016,PUD,2409
872,NUSA TENGGARA TIMUR,2016,PUD,0
873,PAPUA,2016,PUD,11540
874,PAPUA BARAT,2016,PUD,664
875,RIAU,2016,PUD,13942
876,SULAWESI BARAT,2016,PUD,0
877,SULAWESI SELATAN,2016,PUD,5676
878,SULAWESI TENGAH,2016,PUD,1014
879,SULAWESI TENGGARA,2016,PUD,2022
880,SULAWESI UTARA,2016,PUD,2429
881,SUMATERA BARAT,2016,PUD,12858
882,SUMATERA SELATAN,2016,PUD,41776
883,SUMATERA UTARA,2016,PUD,10816
884,ACEH,2017,PUD,2937
885,BALI,2017,PUD,2905
886,BANTEN,2017,PUD,558
887,BENGKULU,2017,PUD,4568
888,DAERAH ISTIMEWA YOGYAKARTA,2017,PUD,2378
889,DKI JAKARTA,2017,PUD,0
890,GORONTALO,2017,PUD,597
891,JAMBI,2017,PUD,9562
892,JAWA BARAT,2017,PUD,15962
893,JAWA TENGAH,2017,PUD,36270
894,JAWA TIMUR,2017,PUD,16476
895,KALIMANTAN BARAT,2017,PUD,8916
896,KALIMANTAN SELATAN,2017,PUD,23532
897,KALIMANTAN TENGAH,2017,PUD,17674
898,KALIMANTAN TIMUR,2017,PUD,23023
899,KALIMANTAN UTARA,2017,PUD,1680
900,KEPULAUAN BANGKA BELITUNG,2017,PUD,0
901,KEPULAUAN RIAU,2017,PUD,0
902,LAMPUNG,2017,PUD,10596
903,MALUKU,2017,PUD,0
904,MALUKU UTARA,2017,PUD,0
905,NUSA TENGGARA BARAT,2017,PUD,2409
906,NUSA TENGGARA TIMUR,2017,PUD,0
907,PAPUA,2017,PUD,11540
908,PAPUA BARAT,2017,PUD,664
909,RIAU,2017,PUD,13942
910,SULAWESI BARAT,2017,PUD,0
911,SULAWESI SELATAN,2017,PUD,5676
912,SULAWESI TENGAH,2017,PUD,1014
913,SULAWESI TENGGARA,2017,PUD,2022
914,SULAWESI UTARA,2017,PUD,2429
915,SUMATERA BARAT,2017,PUD,12858
916,SUMATERA SELATAN,2017,PUD,41776
917,SUMATERA UTARA,2017,PUD,10816
918,ACEH,2018,PUD,5420
919,BALI,2018,PUD,5572
920,BANTEN,2018,PUD,735
921,BENGKULU,2018,PUD,4464
922,DAERAH ISTIMEWA YOGYAKARTA,2018,PUD,2313
923,DKI JAKARTA,2018,PUD,0
924,GORONTALO,2018,PUD,828
925,JAMBI,2018,PUD,10259
926,JAWA BARAT,2018,PUD,19987
927,JAWA TENGAH,2018,PUD,30489
928,JAWA TIMUR,2018,PUD,12988
929,KALIMANTAN BARAT,2018,PUD,45799
930,KALIMANTAN SELATAN,2018,PUD,23318
931,KALIMANTAN TENGAH,2018,PUD,21874
932,KALIMANTAN TIMUR,2018,PUD,24120
933,KALIMANTAN UTARA,2018,PUD,2269
934,KEPULAUAN BANGKA BELITUNG,2018,PUD,636
935,KEPULAUAN RIAU,2018,PUD,0
936,LAMPUNG,2018,PUD,9698
937,MALUKU,2018,PUD,55
938,MALUKU UTARA,2018,PUD,0
939,NUSA TENGGARA BARAT,2018,PUD,2665
940,NUSA TENGGARA TIMUR,2018,PUD,9
941,PAPUA,2018,PUD,1240
942,PAPUA BARAT,2018,PUD,292
943,RIAU,2018,PUD,11998
944,SULAWESI BARAT,2018,PUD,0
945,SULAWESI SELATAN,2018,PUD,7595
946,SULAWESI TENGAH,2018,PUD,7926
947,SULAWESI TENGGARA,2018,PUD,1014
948,SULAWESI UTARA,2018,PUD,2573
949,SUMATERA BARAT,2018,PUD,9953
950,SUMATERA SELATAN,2018,PUD,19730
951,SUMATERA UTARA,2018,PUD,11451
952,ACEH,2019,PUD,10469
953,BALI,2019,PUD,2502
954,BANTEN,2019,PUD,1730
955,BENGKULU,2019,PUD,4490
956,DAERAH ISTIMEWA YOGYAKARTA,2019,PUD,5329
957,DKI JAKARTA,2019,PUD,0
958,GORONTALO,2019,PUD,1684
959,JAMBI,2019,PUD,11382
960,JAWA BARAT,2019,PUD,30456
961,JAWA TENGAH,2019,PUD,149876
962,JAWA TIMUR,2019,PUD,23033
963,KALIMANTAN BARAT,2019,PUD,15659
964,KALIMANTAN SELATAN,2019,PUD,78420
965,KALIMANTAN TENGAH,2019,PUD,30636
966,KALIMANTAN TIMUR,2019,PUD,53588
967,KALIMANTAN UTARA,2019,PUD,1716
968,KEPULAUAN BANGKA BELITUNG,2019,PUD,1205
969,KEPULAUAN RIAU,2019,PUD,0
970,LAMPUNG,2019,PUD,8042
971,MALUKU,2019,PUD,0
972,MALUKU UTARA,2019,PUD,0
973,NUSA TENGGARA BARAT,2019,PUD,3702
974,NUSA TENGGARA TIMUR,2019,PUD,17
975,PAPUA,2019,PUD,100
976,PAPUA BARAT,2019,PUD,1681
977,RIAU,2019,PUD,31471
978,SULAWESI BARAT,2019,PUD,0
979,SULAWESI SELATAN,2019,PUD,13473
980,SULAWESI TENGAH,2019,PUD,2148
981,SULAWESI TENGGARA,2019,PUD,2256
982,SULAWESI UTARA,2019,PUD,6638
983,SUMATERA BARAT,2019,PUD,12712
984,SUMATERA SELATAN,2019,PUD,50406
985,SUMATERA UTARA,2019,PUD,16077
986,ACEH,2020,PUD,6027
987,BALI,2020,PUD,1805
988,BANTEN,2020,PUD,2207
989,BENGKULU,2020,PUD,4478
990,DAERAH ISTIMEWA YOGYAKARTA,2020,PUD,5418
991,DKI JAKARTA,2020,PUD,0
992,GORONTALO,2020,PUD,874
993,JAMBI,2020,PUD,10003
994,JAWA BARAT,2020,PUD,32320
995,JAWA TENGAH,2020,PUD,81391
996,JAWA TIMUR,2020,PUD,31965
997,KALIMANTAN BARAT,2020,PUD,21040
998,KALIMANTAN SELATAN,2020,PUD,44567
999,KALIMANTAN TENGAH,2020,PUD,35718
1000,KALIMANTAN TIMUR,2020,PUD,50198
1001,KALIMANTAN UTARA,2020,PUD,1723
1002,KEPULAUAN BANGKA BELITUNG,2020,PUD,982
1003,KEPULAUAN RIAU,2020,PUD,0
1004,LAMPUNG,2020,PUD,6189
1005,MALUKU,2020,PUD,0
1006,MALUKU UTARA,2020,PUD,0
1007,NUSA TENGGARA BARAT,2020,PUD,3119
1008,NUSA TENGGARA TIMUR,2020,PUD,0
1009,PAPUA,2020,PUD,1146
1010,PAPUA BARAT,2020,PUD,1633
1011,RIAU,2020,PUD,20412
1012,SULAWESI BARAT,2020,PUD,0
1013,SULAWESI SELATAN,2020,PUD,8234
1014,SULAWESI TENGAH,2020,PUD,3375
1015,SULAWESI TENGGARA,2020,PUD,2190
1016,SULAWESI UTARA,2020,PUD,2278
1017,SUMATERA BARAT,2020,PUD,13366
1018,SUMATERA SELATAN,2020,PUD,43800
1019,SUMATERA UTARA,2020,PUD,10555
