,provinsi,tahun,luas lahan
128,SULAWESI BARAT,2014,243542000.0
129,SULAWESI SELATAN,2014,1743007000.0
130,SULAWESI TENGAH,2014,350995600.0
131,SULAWESI TENGGARA,2014,488916109.0
132,SULAWESI UTARA,2014,161894039.0
133,SUMATERA BARAT,2014,161299110.0
134,SUMATERA SELATAN,2014,651271633.0
135,SUMATERA UTARA,2014,205675900.0
136,ACEH,2015,521092673.0
137,BALI,2015,19843000.0
138,BANTEN,2015,160115900.0
139,BENGKULU,2015,115162199.0
140,DAERAH ISTIMEWA YOGYAKARTA,2015,13583400.0
141,DKI JAKARTA,2015,6786500.0
142,GORONTALO,2015,84578303.0
143,JAMBI,2015,27374300.0
144,JAWA BARAT,2015,1134655700.0
145,JAWA TENGAH,2015,566521800.0
146,JAWA TIMUR,2015,2248385067.0
147,KALIMANTAN BARAT,2015,177057900.0
148,KALIMANTAN SELATAN,2015,188761878.0
149,KALIMANTAN TENGAH,2015,82350569.0
150,KALIMANTAN TIMUR,2015,1233680886.0
151,KALIMANTAN UTARA,2015,811560270.0
152,KEPULAUAN BANGKA BELITUNG,2015,2019450.0
153,KEPULAUAN RIAU,2015,93267170.0
154,LAMPUNG,2015,558242700.0
155,MALUKU,2015,176207100.0
156,MALUKU UTARA,2015,40515200.0
157,NUSA TENGGARA BARAT,2015,246712800.0
158,NUSA TENGGARA TIMUR,2015,127711400.0
159,PAPUA,2015,31795803.0
160,PAPUA BARAT,2015,441429500.0
161,RIAU,2015,36053700.0
162,SULAWESI BARAT,2015,260375000.0
163,SULAWESI SELATAN,2015,1779641000.0
164,SULAWESI TENGAH,2015,421964600.0
165,SULAWESI TENGGARA,2015,383704000.0
166,SULAWESI UTARA,2015,163113121.0
167,SUMATERA BARAT,2015,173957689.0
168,SUMATERA SELATAN,2015,665266400.0
169,SUMATERA UTARA,2015,224953079.0
170,ACEH,2016,602956400.0
171,BALI,2016,24267000.0
172,BANTEN,2016,158864016.0
173,BENGKULU,2016,104011400.0
174,DAERAH ISTIMEWA YOGYAKARTA,2016,14671200.0
175,DKI JAKARTA,2016,5447718.0
176,GORONTALO,2016,86817900.0
177,JAMBI,2016,28090500.0
178,JAWA BARAT,2016,1294772400.0
179,JAWA TENGAH,2016,609754067.0
180,JAWA TIMUR,2016,2248394067.0
181,KALIMANTAN BARAT,2016,163908820.0
182,KALIMANTAN SELATAN,2016,258246522.0
183,KALIMANTAN TENGAH,2016,84832000.0
184,KALIMANTAN TIMUR,2016,230555854.0
185,KALIMANTAN UTARA,2016,760280000.0
186,KEPULAUAN BANGKA BELITUNG,2016,4188999.0
187,KEPULAUAN RIAU,2016,55105500.0
188,LAMPUNG,2016,489097900.0
189,MALUKU,2016,113048200.0
190,MALUKU UTARA,2016,67333000.0
191,NUSA TENGGARA BARAT,2016,301677600.0
192,NUSA TENGGARA TIMUR,2016,125060060.0
193,PAPUA,2016,31684803.0
194,PAPUA BARAT,2016,26556200.0
195,RIAU,2016,46327700.0
196,SULAWESI BARAT,2016,266850000.0
197,SULAWESI SELATAN,2016,1778505000.0
198,SULAWESI TENGAH,2016,361624100.0
199,SULAWESI TENGGARA,2016,441659240.0
200,SULAWESI UTARA,2016,163113121.0
201,SUMATERA BARAT,2016,173917689.0
202,SUMATERA SELATAN,2016,651229089.0
203,SUMATERA UTARA,2016,239569083.0
204,ACEH,2017,602956400.0
205,BALI,2017,24267000.0
206,BANTEN,2017,158864016.0
207,BENGKULU,2017,104011400.0
208,DAERAH ISTIMEWA YOGYAKARTA,2017,14671200.0
209,DKI JAKARTA,2017,5447718.0
210,GORONTALO,2017,86817900.0
211,JAMBI,2017,28090500.0
212,JAWA BARAT,2017,1294772400.0
213,JAWA TENGAH,2017,609754067.0
214,JAWA TIMUR,2017,2248394067.0
215,KALIMANTAN BARAT,2017,163908820.0
216,KALIMANTAN SELATAN,2017,258246522.0
217,KALIMANTAN TENGAH,2017,84832000.0
218,KALIMANTAN TIMUR,2017,230555854.0
219,KALIMANTAN UTARA,2017,760280000.0
220,KEPULAUAN BANGKA BELITUNG,2017,4188999.0
221,KEPULAUAN RIAU,2017,55105500.0
222,LAMPUNG,2017,489097900.0
223,MALUKU,2017,113048200.0
224,MALUKU UTARA,2017,67333000.0
225,NUSA TENGGARA BARAT,2017,301677600.0
226,NUSA TENGGARA TIMUR,2017,125060060.0
227,PAPUA,2017,31684803.0
228,PAPUA BARAT,2017,26556200.0
229,RIAU,2017,46327700.0
230,SULAWESI BARAT,2017,266850000.0
231,SULAWESI SELATAN,2017,1778505000.0
232,SULAWESI TENGAH,2017,361624100.0
233,SULAWESI TENGGARA,2017,441659240.0
234,SULAWESI UTARA,2017,163113121.0
235,SUMATERA BARAT,2017,173917689.0
236,SUMATERA SELATAN,2017,651229089.0
237,SUMATERA UTARA,2017,239569083.0
238,ACEH,2018,691389303.0
239,BALI,2018,8150145.0
240,BANTEN,2018,158557360.0
241,BENGKULU,2018,170239534.0
242,DAERAH ISTIMEWA YOGYAKARTA,2018,13635085.0
243,DKI JAKARTA,2018,1672365.0
244,GORONTALO,2018,64394107.0
245,JAMBI,2018,21407311.0
246,JAWA BARAT,2018,99049038.0
247,JAWA TENGAH,2018,1466633624.0
248,JAWA TIMUR,2018,2424093286.0
249,KALIMANTAN BARAT,2018,169526776.0
250,KALIMANTAN SELATAN,2018,120164716.0
251,KALIMANTAN TENGAH,2018,4271651.0
252,KALIMANTAN TIMUR,2018,840578880.0
253,KALIMANTAN UTARA,2018,1340165675.0
254,KEPULAUAN BANGKA BELITUNG,2018,3246431.0
255,KEPULAUAN RIAU,2018,3757828.0
256,LAMPUNG,2018,505532168.0
257,MALUKU,2018,64622997.0
258,MALUKU UTARA,2018,219274.0
259,NUSA TENGGARA BARAT,2018,291772823.0
260,NUSA TENGGARA TIMUR,2018,136860356.0
261,PAPUA,2018,2741976.0
262,PAPUA BARAT,2018,2433801.0
263,RIAU,2018,30826550.0
264,SULAWESI BARAT,2018,279539000.0
265,SULAWESI SELATAN,2018,1667674751.0
266,SULAWESI TENGAH,2018,615739769.0
267,SULAWESI TENGGARA,2018,408022507.0
268,SULAWESI UTARA,2018,90431510.0
269,SUMATERA BARAT,2018,88708424.0
270,SUMATERA SELATAN,2018,401179189.0
271,SUMATERA UTARA,2018,560511513.0
272,ACEH,2019,1036910719.0
273,BALI,2019,14103237.0
274,BANTEN,2019,248252857.0
275,BENGKULU,2019,312996886.0
276,DAERAH ISTIMEWA YOGYAKARTA,2019,16888678.0
277,DKI JAKARTA,2019,219345.0
278,GORONTALO,2019,85844379.0
279,JAMBI,2019,21275124.0
280,JAWA BARAT,2019,2613324448.0
281,JAWA TENGAH,2019,893045550.0
282,JAWA TIMUR,2019,928615924.0
283,KALIMANTAN BARAT,2019,73611090.0
284,KALIMANTAN SELATAN,2019,959513063.0
285,KALIMANTAN TENGAH,2019,108818189.0
286,KALIMANTAN TIMUR,2019,1033721835.0
287,KALIMANTAN UTARA,2019,1564323132.0
288,KEPULAUAN BANGKA BELITUNG,2019,5152407.0
289,KEPULAUAN RIAU,2019,8050923.0
290,LAMPUNG,2019,353602046.0
291,MALUKU,2019,92455074.0
292,MALUKU UTARA,2019,4517525.0
293,NUSA TENGGARA BARAT,2019,416231706.0
294,NUSA TENGGARA TIMUR,2019,94024967.0
295,PAPUA,2019,8786882.0
296,PAPUA BARAT,2019,1774245.0
297,RIAU,2019,25773564.0
298,SULAWESI BARAT,2019,257784234.0
299,SULAWESI SELATAN,2019,2084914231.0
300,SULAWESI TENGAH,2019,395084084.0
301,SULAWESI TENGGARA,2019,663171892.0
302,SULAWESI UTARA,2019,61983713.0
303,SUMATERA BARAT,2019,119953044.0
304,SUMATERA SELATAN,2019,316353014.0
305,SUMATERA UTARA,2019,444364692.0
306,ACEH,2020,1447133550.0
307,BALI,2020,22573679.0
308,BANTEN,2020,204383542.0
309,BENGKULU,2020,35752441.0
310,DAERAH ISTIMEWA YOGYAKARTA,2020,16815899.0
311,DKI JAKARTA,2020,143036.0
312,GORONTALO,2020,84724331.0
313,JAMBI,2020,18986474.0
314,JAWA BARAT,2020,817960074.0
315,JAWA TENGAH,2020,469245224.0
316,JAWA TIMUR,2020,778553930.0
317,KALIMANTAN BARAT,2020,84238210.0
318,KALIMANTAN SELATAN,2020,158721684.0
319,KALIMANTAN TENGAH,2020,82481435.0
320,KALIMANTAN TIMUR,2020,1032948187.0
321,KALIMANTAN UTARA,2020,1387244215.0
322,KEPULAUAN BANGKA BELITUNG,2020,4903275.0
323,KEPULAUAN RIAU,2020,5528645.0
324,LAMPUNG,2020,388192603.0
325,MALUKU,2020,48846268.0
326,MALUKU UTARA,2020,3960993.0
327,NUSA TENGGARA BARAT,2020,275104913.0
328,NUSA TENGGARA TIMUR,2020,95751349.0
329,PAPUA,2020,4886777.0
330,PAPUA BARAT,2020,1218403.0
331,RIAU,2020,25595129.0
332,SULAWESI BARAT,2020,205325144.0
333,SULAWESI SELATAN,2020,1664188455.0
334,SULAWESI TENGAH,2020,309154503.0
335,SULAWESI TENGGARA,2020,265938132.0
336,SULAWESI UTARA,2020,40955375.0
337,SUMATERA BARAT,2020,123614096.0
338,SUMATERA SELATAN,2020,307726190.0
339,SUMATERA UTARA,2020,279435415.0
